Age,Monthly_Bill,Internet_Usage_GB,Contract_Type,Customer_Tenure,Support_Tickets,Payment_Method,Churn
41,149.23928408175894,95.82886944556023,One Year,51,2,Bank Transfer,0
28,73.89853793861246,386.5616986972208,One Year,11,4,Credit Card,0
68,72.43482450117011,245.00844545870254,Two Year,59,1,Crypto,0
34,64.13351798496281,155.67659804105773,Two Year,14,7,Crypto,1
25,100.87389682709818,81.67699586145723,One Year,7,1,Bank Transfer,0
52,44.32097260884991,305.9705180330238,Two Year,69,3,Crypto,0
52,102.26983946610385,333.46439002802407,Month-to-Month,58,2,PayPal,0
50,143.79335567699107,335.1290110719705,Two Year,40,3,Crypto,1
22,15.660195766198214,110.92339278406268,Two Year,25,3,Crypto,0
59,11.858082258094754,298.0738652039537,Two Year,42,5,Crypto,1
56,24.273352929356754,452.7978259643553,Two Year,44,9,Bank Transfer,0
58,111.7754117283413,177.24061278073077,Month-to-Month,5,9,Credit Card,0
45,172.34646580522664,106.17269938828021,Two Year,28,9,Crypto,0
24,10.928048543847869,386.30260849436024,One Year,60,8,Crypto,0
26,187.9656478710894,89.26458713956625,Two Year,21,2,Bank Transfer,0
25,30.1929171984018,127.62061147705107,Two Year,49,0,PayPal,1
29,169.976870331063,51.22155276166928,One Year,56,7,PayPal,0
51,101.74240534675988,134.66928372125997,Month-to-Month,57,6,Credit Card,0
50,135.27790358298034,205.75719804127422,One Year,61,1,Bank Transfer,0
65,107.02976704496466,33.014773109552564,One Year,38,4,Credit Card,1
72,100.63916278407739,435.982746537753,One Year,2,9,Crypto,0
40,168.63089138923436,257.3237213161261,One Year,3,3,Credit Card,0
41,153.6184121178851,294.4637123123767,Two Year,43,8,Credit Card,0
54,101.84642493937079,186.27159246029376,Two Year,35,3,Crypto,0
52,31.210826585251702,335.247779547402,Two Year,40,4,Credit Card,1
61,31.926562269737545,216.45908618966433,Two Year,58,7,Credit Card,0
57,162.29249753662432,380.8955734950832,Month-to-Month,34,2,Crypto,0
39,110.58421805603136,410.8796696141882,Two Year,25,5,Crypto,0
44,101.5019366416789,336.25270683137484,Two Year,56,5,Crypto,0
52,139.30769985853587,246.17647396794104,Month-to-Month,32,6,Credit Card,0
18,173.17990084870945,391.35240595051164,One Year,22,8,Crypto,0
52,129.48589743852799,247.6483703910197,Two Year,65,2,Bank Transfer,1
54,154.941101445831,56.64344228041481,Two Year,21,4,Credit Card,1
64,155.4013995822218,59.05377139880899,One Year,21,4,Crypto,1
31,77.68967527066222,474.3429866768676,Two Year,28,4,Credit Card,1
20,62.07580717178919,107.56794122048018,One Year,19,5,Bank Transfer,0
18,162.22117276328015,408.1465705199662,One Year,14,0,Crypto,0
22,81.66397043900626,124.10599823023924,One Year,24,8,Crypto,0
43,181.633841239314,215.95926683455136,Two Year,20,2,PayPal,0
72,23.241232378722728,327.8191079369739,One Year,32,5,Bank Transfer,0
31,21.061327294314534,80.27471927505616,Two Year,52,3,Bank Transfer,0
56,186.13079041926758,368.8859976935749,Month-to-Month,65,6,PayPal,1
44,133.20643369447262,345.2665733057126,One Year,52,7,Bank Transfer,0
26,82.12387772518314,271.9983616637857,Two Year,58,3,Crypto,0
32,153.46147881507474,283.37898826517375,One Year,10,9,PayPal,0
32,137.74209389879184,53.7801249672736,Two Year,70,5,Credit Card,0
43,110.92819889572328,218.53862606712602,Two Year,15,9,Crypto,0
59,28.785935105903757,44.199126283454675,Month-to-Month,47,6,Bank Transfer,0
30,164.3141215856228,154.6237822257218,One Year,10,9,PayPal,0
68,174.5444062293187,450.2557584042261,Two Year,21,6,Credit Card,1
49,42.71205082500333,287.69216687684127,Month-to-Month,19,8,PayPal,0
56,171.59721387564267,371.6090156381881,Two Year,68,7,Crypto,0
66,176.7909890931472,287.36904782057024,Two Year,22,2,Crypto,0
69,114.39143633481804,97.9241422453179,Month-to-Month,63,3,PayPal,1
49,134.67401688231053,297.8093495741658,One Year,38,8,PayPal,1
21,82.62509080275336,377.93865057545696,Month-to-Month,15,6,Bank Transfer,0
47,63.54041302676054,70.06409643064673,One Year,70,6,Crypto,0
54,147.1767979208125,408.6364483371978,Two Year,44,0,Credit Card,1
40,173.75627831300355,278.1406973101696,Two Year,30,1,PayPal,0
56,134.27473506159203,3.133325882221869,Month-to-Month,24,0,Credit Card,0
62,107.20221602284435,260.3694646826505,Month-to-Month,46,3,PayPal,0
32,40.195705700392594,198.44007457627796,Month-to-Month,4,3,Crypto,0
60,20.15715539491545,148.92680913370378,Two Year,6,4,PayPal,0
46,94.68144014688183,385.85735273901975,One Year,38,4,Bank Transfer,1
53,19.37641710251004,449.8504419457666,Month-to-Month,26,0,Credit Card,0
30,118.17358006237276,381.56389158321,One Year,19,6,PayPal,1
49,82.71854635037654,423.5395182138457,Month-to-Month,2,5,Crypto,1
24,153.8659327395742,454.4816906623754,Month-to-Month,68,7,PayPal,0
68,68.07321439887485,456.4020263768624,Month-to-Month,69,3,Credit Card,1
39,122.6667131838121,58.204433355381965,Month-to-Month,47,0,Crypto,0
45,112.15986913346909,228.73635895469357,Two Year,29,2,PayPal,0
19,10.89536084922582,1.142950722062238,Two Year,64,8,Bank Transfer,0
59,23.753985670218967,253.7248297671326,Month-to-Month,12,9,Bank Transfer,0
62,65.1699603723439,462.1977232375516,Two Year,11,6,Bank Transfer,0
74,177.62466539394538,100.35204290868853,Two Year,8,1,Crypto,0
70,37.93284143095792,320.25352775452325,Two Year,60,2,PayPal,0
23,145.06992278750292,322.54514416252897,Two Year,26,1,Crypto,0
45,194.9396475689346,81.01663835919871,One Year,32,3,Bank Transfer,1
45,160.20783501131947,120.02519221941272,One Year,39,1,Crypto,0
61,56.15961872053835,231.5488701961603,Two Year,4,3,PayPal,0
61,182.58939947848552,94.91647885071838,One Year,44,6,Bank Transfer,1
37,27.690359736594115,292.91199528373005,Month-to-Month,35,7,Crypto,0
47,98.9469689554398,242.78632378011227,One Year,51,9,Credit Card,0
28,178.6329624680186,260.0798910776742,Month-to-Month,51,5,Bank Transfer,0
72,131.84048475880525,68.09930885745706,One Year,29,8,Credit Card,1
45,88.59246729826278,259.1086608938831,One Year,36,5,Bank Transfer,0
42,65.63444468006207,25.689617336015516,Month-to-Month,60,2,PayPal,0
56,81.2688870104865,440.8861137078291,Month-to-Month,15,0,Crypto,0
50,106.69893839176439,172.28159571199063,Two Year,51,8,Credit Card,0
18,70.61834667583341,428.31232509301805,One Year,50,2,Credit Card,1
74,194.10389379563694,351.1265280036771,Month-to-Month,55,0,Crypto,1
44,187.28475408256756,383.32012205929334,Two Year,12,1,PayPal,0
74,175.42757896072095,157.95770277492244,Month-to-Month,50,2,Credit Card,0
69,90.14766874930415,114.64422597719353,Two Year,62,7,Crypto,0
30,141.3473361736935,203.9635363667163,Two Year,5,7,Credit Card,1
58,181.5375683368333,13.08870534398687,Month-to-Month,27,1,PayPal,1
20,171.58160265899633,459.45908275730636,Month-to-Month,9,5,Credit Card,1
56,88.72213266383946,194.12011871709615,One Year,35,1,Credit Card,0
23,31.353349371229534,494.28974581693893,One Year,13,6,PayPal,0
25,24.3697691285644,380.963260982899,Two Year,44,9,Credit Card,1
44,119.64216859288351,41.176989889855925,Month-to-Month,46,2,Crypto,1
26,132.099307690077,330.43395064344537,One Year,68,7,PayPal,0
54,171.4700948734346,136.1487432541396,Two Year,53,2,Credit Card,1
50,65.5778538647959,122.61560414510868,One Year,1,9,PayPal,1
68,41.819393204508074,129.0247722817032,Two Year,11,5,Bank Transfer,1
59,82.0111083038579,458.1214492977157,One Year,50,0,Crypto,0
61,77.17927349013226,250.49010785961607,Month-to-Month,9,7,Credit Card,0
41,35.169101263392406,335.0659785069913,Two Year,38,6,Crypto,1
32,137.73370397749892,141.19296507405065,Two Year,13,0,Credit Card,0
71,106.65146873858143,261.95427313737395,One Year,5,6,Bank Transfer,0
49,147.0133236618056,175.6999689673837,One Year,25,4,Bank Transfer,0
49,77.01131283224959,161.24838115780398,One Year,10,1,Crypto,0
41,71.88342019976344,124.23745513713591,Month-to-Month,5,0,Crypto,0
58,99.78941207833257,205.09444234820688,One Year,22,1,PayPal,0
69,176.70739562507794,330.35502520438143,One Year,42,5,Credit Card,0
66,17.653448279456263,111.7998442574874,Month-to-Month,20,1,Credit Card,0
66,162.9182352863297,482.7565494517977,One Year,28,5,Crypto,0
69,80.10764640497374,63.18122655536967,Month-to-Month,21,7,PayPal,1
29,172.37761489981077,240.62339665299672,Month-to-Month,11,7,Bank Transfer,0
56,162.41857167881273,43.42907996131935,One Year,69,5,Credit Card,1
19,76.26463700525679,12.30999521343598,Month-to-Month,37,4,Bank Transfer,0
20,141.83654171110703,461.41598252948336,One Year,49,3,PayPal,0
66,40.330223786953624,405.3820121813664,Month-to-Month,69,5,Credit Card,0
54,180.29349491111972,347.3835311896536,Two Year,33,4,PayPal,1
66,86.85330224586279,432.7302157618224,One Year,45,9,PayPal,0
73,96.56886691748804,401.62136306189456,Two Year,8,3,Credit Card,0
34,144.09421969702714,323.9716227722097,Two Year,6,5,Bank Transfer,1
66,165.95964497392168,423.82382055841623,Two Year,15,8,Bank Transfer,0
19,54.905121232359825,196.0094761765925,Two Year,15,8,PayPal,0
19,135.65652657662912,276.82316478432796,One Year,9,7,Crypto,0
45,84.47962833893821,388.3790158363442,Month-to-Month,61,9,PayPal,0
71,80.05355556075266,43.31421010692697,One Year,56,0,Bank Transfer,0
40,141.1049065487244,429.46408811407946,One Year,5,8,PayPal,1
54,83.56482208962753,79.25839739260591,Month-to-Month,26,4,PayPal,0
49,75.76061503123745,432.40608519587204,Two Year,57,2,Credit Card,0
50,168.81879754398605,156.35510294483058,Month-to-Month,35,7,PayPal,0
18,29.24246352789121,164.06464013864002,Two Year,10,7,Crypto,0
36,138.41959833774004,37.90039624498093,One Year,21,8,Crypto,1
19,57.25782482021868,443.063912323979,Month-to-Month,12,1,Crypto,1
70,12.944665946976158,88.08069079304391,Month-to-Month,9,9,Crypto,1
61,41.68521108581149,315.39490111647063,Two Year,16,3,PayPal,0
43,125.26569065741486,322.3398320275076,Month-to-Month,54,9,Crypto,1
49,144.7341663823281,141.29460020390832,One Year,23,1,Crypto,0
23,14.000978875700808,492.8448177709454,Month-to-Month,39,5,Credit Card,0
49,16.92083422732683,33.018942837431375,Month-to-Month,22,0,Bank Transfer,0
72,181.4830018201611,304.32813348476765,One Year,55,9,Credit Card,0
21,23.928105441606768,240.29241980113736,Two Year,31,2,Crypto,1
72,179.89461013714853,123.49656946649004,Month-to-Month,47,1,Bank Transfer,1
28,53.351523612672096,82.61230395015028,Two Year,27,6,Credit Card,1
73,150.60338203006043,368.8050947213342,Month-to-Month,48,7,PayPal,0
34,68.8493172997423,458.24112236611205,One Year,39,1,Bank Transfer,0
55,173.16288486574493,54.665584715406474,Two Year,21,8,Credit Card,1
41,143.086424430628,97.79612584089674,Month-to-Month,15,0,Credit Card,0
22,86.34455713432207,493.1486039004871,Two Year,45,1,Crypto,0
69,24.497466293075114,8.496314444699436,Month-to-Month,19,2,Bank Transfer,0
51,149.21303493545335,254.61773285680871,One Year,53,1,Crypto,0
23,127.2081036333845,258.5403121908253,One Year,55,0,Bank Transfer,1
39,10.55322638841986,132.31760104774114,Month-to-Month,49,7,Crypto,0
28,11.789772634764612,331.8514113413867,Month-to-Month,61,0,Bank Transfer,0
65,163.67066490661185,472.52551230707985,Two Year,60,4,Bank Transfer,0
33,59.28595037235223,225.656751547332,Month-to-Month,24,5,Credit Card,0
50,130.86539686833248,374.96033319519404,Two Year,39,6,Crypto,0
26,96.30073975539702,323.3890593764577,Month-to-Month,61,2,Bank Transfer,0
23,174.0517027591358,236.9979899073157,One Year,23,6,Bank Transfer,1
33,184.22261148947283,25.856337601799133,Two Year,39,7,Bank Transfer,1
46,199.39346540898228,371.13315267368034,Two Year,11,9,PayPal,0
20,39.1999858033769,182.26247211361002,One Year,42,2,Bank Transfer,1
37,173.96316883034032,113.02284951280804,Two Year,25,4,PayPal,1
53,60.54406157847234,474.18605624429705,One Year,34,0,Bank Transfer,0
36,122.25501623014647,386.97788200403386,One Year,22,8,Bank Transfer,0
43,106.09683843515008,481.1720721567913,One Year,2,7,Credit Card,1
20,13.417744998753655,128.85224915062943,Month-to-Month,51,2,Credit Card,0
36,187.226543182158,418.06087046136577,One Year,16,3,Credit Card,0
37,24.882140478351506,304.2529807267226,Two Year,11,0,Credit Card,1
49,140.7615946874698,490.7703409623066,Month-to-Month,69,0,Crypto,0
24,159.1512988795698,473.212155861215,One Year,62,5,Bank Transfer,1
69,161.10469131906,486.5110544264085,One Year,19,5,PayPal,1
58,35.74395859648051,475.932041551631,One Year,29,8,Bank Transfer,1
50,95.0382905965147,4.822772578329055,Two Year,42,4,Bank Transfer,0
57,167.59148538245617,370.80161966519404,Month-to-Month,23,2,Bank Transfer,1
56,67.50904997196338,136.69534604361124,Month-to-Month,60,5,Credit Card,0
35,98.87224832118608,352.8085206807115,Month-to-Month,18,7,Bank Transfer,1
57,61.8308396129707,490.32498942570044,Two Year,55,6,Bank Transfer,0
18,98.07476939821159,20.64033595868065,One Year,18,9,Crypto,0
28,178.68920529264722,283.9269283872359,Month-to-Month,27,2,Crypto,0
45,96.4736038962262,367.7416259002679,One Year,1,0,PayPal,0
74,115.62328324412087,127.42603232518864,Two Year,14,3,Crypto,0
42,86.75549382758588,113.33584659650408,Month-to-Month,59,5,Credit Card,0
67,97.42226480863185,31.112407195538616,Two Year,33,3,Crypto,0
40,12.883097818820122,47.86600872686973,Month-to-Month,36,4,PayPal,0
48,63.91164689248664,328.7182055133324,Month-to-Month,39,9,PayPal,0
47,92.95052713094664,253.10009889694348,One Year,45,6,Crypto,0
59,130.42142543861848,16.00604151349102,Two Year,25,4,Bank Transfer,0
52,95.50986680523951,484.86121761763013,Month-to-Month,15,4,PayPal,1
24,74.18523823109717,328.36688887491374,Month-to-Month,20,1,Crypto,0
33,83.73875971538986,258.21881593898814,Two Year,34,0,Crypto,0
43,56.03573254808864,137.08939407658522,One Year,58,3,Crypto,0
65,185.65391372707003,329.3913435189441,Two Year,60,9,PayPal,0
74,109.13121290027377,182.71976357847365,Month-to-Month,30,7,Bank Transfer,0
69,12.547796235703391,351.54458716858227,Two Year,13,2,Credit Card,0
66,13.694789099713857,341.6033882330753,One Year,67,5,Crypto,0
19,194.8627106408879,47.27915376694054,One Year,45,9,Bank Transfer,0
18,52.07566936091656,454.72109344718484,One Year,40,1,Credit Card,0
65,163.0655748747198,244.00015154923895,One Year,38,8,Crypto,0
29,21.072307296509152,197.0795245443104,One Year,47,8,PayPal,0
22,185.02091997196433,477.7756096707605,One Year,29,3,Credit Card,0
54,176.1392306966689,219.66643127449458,One Year,34,7,Bank Transfer,1
49,118.5077008625578,360.88923753462916,Month-to-Month,11,1,Credit Card,0
72,11.709744883818598,327.9131021476682,Two Year,20,9,Bank Transfer,1
26,58.98406606443414,83.40490894344526,One Year,20,1,Bank Transfer,1
58,87.29630300570834,495.58024409782536,Two Year,56,5,Bank Transfer,1
52,97.41218218203673,232.33855682315243,Two Year,23,1,Crypto,0
36,66.55896412685068,197.99650363623695,Month-to-Month,25,0,Credit Card,0
65,16.260094966650698,459.88713288386185,Two Year,33,9,PayPal,0
33,122.124207126043,265.0899299519779,Two Year,31,1,Crypto,1
20,109.58938686200362,352.83340400272687,One Year,1,1,PayPal,0
37,63.77012073152477,423.27677758374347,One Year,54,4,PayPal,0
41,17.21543383822524,118.51170346653466,Two Year,16,5,Credit Card,0
71,198.97289557216862,85.56382601207022,One Year,59,2,Crypto,0
73,101.57737549701713,35.18489598991198,Month-to-Month,66,7,Credit Card,1
50,153.64080593707465,448.6695163237866,Two Year,3,1,Crypto,0
41,95.93966665975374,100.98318027683122,Two Year,15,9,Crypto,0
69,18.20235526395887,154.56926798813254,Month-to-Month,32,2,Credit Card,0
28,68.824141566245,143.61765611339658,Month-to-Month,50,3,Crypto,0
66,70.82092679112122,152.98940577367506,Month-to-Month,60,4,Credit Card,0
25,169.28705176931302,334.3625022875305,Month-to-Month,8,4,Bank Transfer,0
53,134.30369581997613,477.1026658115286,Two Year,7,5,Bank Transfer,1
55,62.33168169149984,165.39726454281265,One Year,4,3,PayPal,1
57,193.87059138522633,204.41593017468972,One Year,10,9,Credit Card,0
37,71.09294815559556,385.80234507019696,One Year,60,6,PayPal,1
52,199.66446490745687,216.73663414965526,One Year,25,7,Crypto,0
65,199.27110170235002,463.09534119509766,Month-to-Month,42,3,Bank Transfer,0
42,46.32999837188094,252.10580732186304,One Year,47,8,Credit Card,0
52,69.42081207579604,174.51969302604408,One Year,32,5,PayPal,0
42,102.34839771208429,485.81466938340054,Two Year,25,7,Crypto,0
46,136.17912751809928,213.46515615602578,Two Year,16,8,Crypto,0
35,110.32901531072187,116.35626072283326,One Year,49,0,Credit Card,0
63,194.19387913512878,89.67270657997693,Month-to-Month,16,4,Crypto,0
35,147.55794120478137,497.5954815883345,One Year,38,6,PayPal,0
19,50.28852138276514,376.74085887129576,Month-to-Month,5,9,Credit Card,0
71,29.96853454059128,204.92123893013522,Two Year,7,1,PayPal,0
52,140.79624523477779,413.35530808324285,Month-to-Month,8,6,Credit Card,0
33,40.10596363434497,273.85625862772804,One Year,33,6,PayPal,1
58,159.6585996637933,159.37739724300297,Two Year,62,2,Crypto,1
53,69.09696677946403,371.94951855924376,One Year,32,8,Bank Transfer,0
50,72.10971998056525,373.20147470269274,One Year,1,6,Crypto,0
21,12.051694554007273,250.58444536288334,Month-to-Month,20,9,Crypto,0
50,143.19214074805774,23.53401183739269,One Year,55,4,PayPal,1
31,31.5212530822903,39.43422080026014,One Year,63,6,PayPal,0
38,156.84730971806843,394.58599002163436,Two Year,6,6,Bank Transfer,0
65,103.4548861642693,411.9147116181184,Month-to-Month,52,5,Bank Transfer,1
37,159.01316484136814,339.46658454001397,Month-to-Month,2,3,PayPal,0
73,120.94604244757085,419.6952191334238,Two Year,39,7,Crypto,0
25,25.662321683608244,360.0242477084484,Two Year,32,1,Credit Card,1
24,155.47394397398477,448.5703756339491,Month-to-Month,51,7,Bank Transfer,1
20,23.26190213000245,76.04873803402688,Two Year,69,4,Crypto,0
34,100.95332690817312,194.48302263510988,Month-to-Month,32,6,Credit Card,1
50,42.74635068754303,232.5912861515188,Two Year,3,2,Crypto,0
65,152.94368381579815,149.53423358434858,Month-to-Month,62,6,Bank Transfer,0
29,183.20233328316405,362.9578576265726,Month-to-Month,13,8,PayPal,0
68,115.28397103807211,456.30696753188096,Two Year,70,6,PayPal,0
39,110.1579859168443,206.82861743536887,One Year,21,0,Bank Transfer,0
72,155.1530073018674,470.8294403343853,One Year,61,8,PayPal,0
39,10.96497446538817,258.8676846648843,Two Year,14,6,Credit Card,1
63,184.37414210068053,261.7352977812095,Month-to-Month,71,1,Crypto,0
47,47.515275247315024,300.5095507982005,Two Year,22,4,PayPal,0
55,196.98258792698508,134.89720149454337,One Year,32,9,PayPal,0
55,149.8882501124878,192.29689904838347,Month-to-Month,41,1,PayPal,0
62,157.1077180631275,277.0654889898618,Month-to-Month,32,6,Bank Transfer,0
68,134.67856627098524,471.0494599010576,Month-to-Month,42,8,Bank Transfer,0
71,99.61600472918046,321.703596649154,One Year,52,3,PayPal,0
